depth_metres,twtt_seconds,interval_velocity_time_mean,vint_std,rms_velocity_time_mean,vrms_std
2.0,0.0027402172922514293,1446.0,5.0,1446.0,5.0
4.0,0.005483858100717069,1445.0,5.0,1445.0,5.0
6.0,0.008229490679016132,1444.0,5.0,1444.0,5.0
8.0,0.010972394771275979,1444.0,5.0,1444.0,5.0
10.0,0.013715319786149524,1444.0,5.0,1444.0,5.0
12.0,0.01645837498097357,1444.0,5.0,1444.0,5.0
14.0,0.019202123936478358,1444.0,5.0,1444.0,5.0
16.0,0.021946666453408387,1444.0,5.0,1444.0,5.0
18.0,0.024689969965541052,1444.0,5.0,1444.0,5.0
20.0,0.027433648946629873,1444.0,5.0,1444.0,5.0
22.0,0.03017708200826172,1444.0,5.0,1444.0,5.0
24.0,0.03292060264350901,1444.0,5.0,1444.0,5.0
26.0,0.03566417316040293,1444.0,5.0,1444.0,5.0
28.0,0.038407947795679354,1444.0,5.0,1444.0,5.0
30.0,0.04115200568600632,1444.0,5.0,1444.0,5.0
32.0,0.04389644998503926,1444.0,4.0,1444.0,5.0
34.0,0.04664125172549266,1444.0,4.0,1444.0,5.0
36.0,0.04938663351113014,1444.0,4.0,1444.0,5.0
38.0,0.05213223203976959,1444.0,4.0,1444.0,5.0
40.0,0.05487707229635772,1443.0,4.0,1444.0,5.0
42.0,0.05762197721486548,1443.0,4.0,1444.0,5.0
44.0,0.06036672454048926,1443.0,4.0,1444.0,5.0
46.0,0.06311197721220264,1443.0,4.0,1444.0,4.0
48.0,0.06585821741358443,1443.0,4.0,1444.0,4.0
50.0,0.0686047000696851,1443.0,4.0,1444.0,4.0
51.0,0.07134732750774211,1443.0,4.0,1444.0,4.0
53.0,0.07409021952977858,1443.0,3.0,1444.0,4.0
55.0,0.07683232764534967,1443.0,3.0,1444.0,4.0
57.0,0.07957381972579697,1443.0,3.0,1444.0,4.0
59.0,0.08231335974390575,1443.0,3.0,1444.0,4.0
61.0,0.08504882837105923,1444.0,3.0,1444.0,4.0
63.0,0.08778220114624795,1444.0,3.0,1444.0,4.0
65.0,0.09051305414789237,1444.0,3.0,1444.0,4.0
67.0,0.09324108753593044,1444.0,4.0,1444.0,4.0
69.0,0.09596729976609115,1444.0,4.0,1444.0,4.0
